# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Sun Jan 21 03:16:11 2018
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
2,FS,172,0:09.675.220,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 03 03 09 04 FF 00 96 0A
2,FS,173,0:09.675.229,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,174,0:09.675.242,89.250 us,64 B,,02,00,   IN txn   [4 POLL],62 03 39 00 39 00 30 00 30 00 30 00 30 00 30 00 30 00 33 00 31 00 33 00…
2,FS,175,0:09.675.242,34.833 us,,,02,00,      [4 IN-NAK],
2,FS,176,0:09.675.281,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,177,0:09.675.284,44.750 us,67 B,,02,00,      DATA1 packet,4B 62 03 39 00 39 00 30 00 30 00 30 00 30 00 30 00 30 00 33 00 31 00 33…
2,FS,178,0:09.675.330,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,179,0:09.675.336,63.666 us,34 B,,02,00,   IN txn   [4 POLL],32 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 39 00 37 00 39 00…
2,FS,180,0:09.675.336,29.250 us,,,02,00,      [4 IN-NAK],
2,FS,181,0:09.675.369,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,182,0:09.675.372,24.750 us,37 B,,02,00,      DATA0 packet,C3 32 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 39 00 37 00 39…
2,FS,183,0:09.675.398,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,184,0:09.675.406,7.333 us,0 B,,02,00,   OUT txn,
2,FS,185,0:09.675.406,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,186,0:09.675.409,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,187,0:09.675.413,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,188,0:09.676.042,1.002.250 ms,,,,,[2 SOF],[Frames: 498 - 499] 
0,FS,189,0:09.676.900,152.083 us,0 B,,02,00,Set Configuration,Configuration=1
1,FS,190,0:09.676.900,12.666 us,8 B,,02,00,   SETUP txn,00 09 01 00 00 00 00 00
2,FS,191,0:09.676.900,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,192,0:09.676.904,7.416 us,11 B,,02,00,      DATA0 packet,C3 00 09 01 00 00 00 00 00 27 25
2,FS,193,0:09.676.912,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,194,0:09.676.925,127.416 us,0 B,,02,00,   IN txn   [2 POLL],
2,FS,195,0:09.676.925,17.916 us,,,02,00,      [2 IN-NAK],
2,FS,196,0:09.677.045,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,197,0:09.677.048,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,198,0:09.677.052,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,199,0:09.678.042,2.083 us,,,,,[1 SOF],[Frame: 500] 
0,FS,200,0:09.678.217,87.583 us,16 B,,02,00,Get String Descriptor,Index=7 Length=255
1,FS,201,0:09.678.217,12.750 us,8 B,,02,00,   SETUP txn,80 06 07 03 09 04 FF 00
2,FS,202,0:09.678.217,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,203,0:09.678.220,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 07 03 09 04 FF 00 97 8E
2,FS,204,0:09.678.229,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,205,0:09.678.242,48.500 us,16 B,,02,00,   IN txn   [3 POLL],10 03 55 00 53 00 42 00 5F 00 4D 00 53 00 43 00
2,FS,206,0:09.678.242,26.250 us,,,02,00,      [3 IN-NAK],
2,FS,207,0:09.678.272,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,208,0:09.678.276,12.750 us,19 B,,02,00,      DATA1 packet,4B 10 03 55 00 53 00 42 00 5F 00 4D 00 53 00 43 00 57 98
2,FS,209,0:09.678.290,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,210,0:09.678.297,7.333 us,0 B,,02,00,   OUT txn,
2,FS,211,0:09.678.297,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,212,0:09.678.301,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,213,0:09.678.304,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,214,0:09.679.042,9.003.183 ms,,,,,[10 SOF],[Frames: 501 - 510] 
0,FS,215,0:09.688.538,91.166 us,20 B,,02,00,Get String Descriptor,Index=6 Length=255
1,FS,216,0:09.688.538,12.833 us,8 B,,02,00,   SETUP txn,80 06 06 03 09 04 FF 00
2,FS,217,0:09.688.538,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,218,0:09.688.542,7.583 us,11 B,,02,00,      DATA0 packet,C3 80 06 06 03 09 04 FF 00 96 5F
2,FS,219,0:09.688.551,750 ns,1 B,,02,00,      ACK packet,D2
